request_id,user_id,department,team,model_provider,model_name,region,timestamp,tokens_input,tokens_output,total_tokens,cost_usd,latency_ms,status,prompt_category
34,307,Marketing,Data Engineering,Meta,llama-3-70b,EU,2024-04-24 15:20:00,759,678,1437,0.0422,3396,success,search
35,472,Marketing,Support,OpenAI,gpt-3.5-turbo,US,2024-10-21 00:29:00,1307,713,2020,0.0399,1731,success,coding
36,52,Finance,Data Engineering,OpenAI,gpt-3.5-turbo,Asia,2024-11-01 06:29:00,1306,1166,2472,0.0311,2589,success,analysis
37,81,Finance,Research,Meta,llama-3-8b,US,2024-08-06 10:49:00,1341,1166,2507,0.0399,3099,success,coding
38,54,Marketing,Analytics,Anthropic,claude-3-haiku,EU,2024-03-13 19:17:00,748,142,890,0.0437,2367,success,search
39,53,Finance,Data Engineering,OpenAI,gpt-3.5-turbo,EU,2024-02-20 02:12:00,904,414,1318,0.0258,1253,success,chat
40,184,HR,Support,Google,gemini-flash,EU,2024-01-06 16:43:00,779,276,1055,0.0389,302,success,chat
41,325,Finance,Research,Meta,llama-3-70b,US,2024-04-23 04:38:00,172,430,602,0.0236,2427,success,search
42,144,Sales,Support,Meta,llama-3-8b,Asia,2024-12-21 17:42:00,933,227,1160,0.0301,2899,success,chat
43,349,Marketing,Product,Meta,llama-3-70b,EU,2024-04-05 06:14:00,658,1177,1835,0.0557,2611,success,chat
44,346,Operations,Product,Meta,llama-3-70b,Asia,2024-01-08 00:59:00,709,793,1502,0.0557,2550,success,search
45,417,Operations,Support,OpenAI,gpt-4o,Asia,2024-04-17 20:07:00,196,893,1089,0.0151,588,success,chat
46,476,Marketing,Research,Anthropic,claude-3-opus,EU,2024-09-17 13:10:00,600,367,967,0.0421,1902,success,analysis
47,99,Operations,Analytics,Google,gemini-pro,EU,2024-04-22 13:00:00,522,180,702,0.0222,3469,success,summarization
48,60,Finance,Product,Google,gemini-pro,US,2024-10-26 19:12:00,312,173,485,0.0207,1116,success,chat
49,140,Finance,Analytics,Google,gemini-flash,EU,2024-06-10 23:18:00,930,31,961,0.0479,2401,success,summarization
50,9,HR,Research,Google,gemini-flash,US,2024-10-17 03:41:00,502,1090,1592,0.0721,3162,success,coding
51,131,Marketing,Research,Meta,llama-3-8b,EU,2024-08-29 03:15:00,1306,1152,2458,0.0934,2355,success,summarization
52,408,HR,Support,OpenAI,gpt-4o,Asia,2024-01-28 20:35:00,453,181,634,0.0166,1796,error,chat
53,422,IT,Research,OpenAI,gpt-3.5-turbo,Asia,2024-03-25 05:03:00,677,616,1293,0.0613,1543,success,summarization
54,473,HR,Analytics,Anthropic,claude-3-opus,Asia,2024-05-23 11:26:00,153,283,436,0.0045,2657,success,search
55,366,Marketing,Research,Meta,llama-3-8b,Asia,2024-08-06 16:30:00,148,182,330,0.0034,2019,success,analysis
56,169,HR,Product,Meta,llama-3-8b,Asia,2024-05-19 16:38:00,387,851,1238,0.0346,1056,success,coding
57,404,Operations,Support,Anthropic,claude-3-haiku,Asia,2024-01-01 07:05:00,210,830,1040,0.0309,915,success,summarization
58,33,Finance,Product,Meta,llama-3-8b,Asia,2024-12-04 14:15:00,1465,1188,2653,0.103,739,success,chat
59,375,Operations,Support,Anthropic,claude-3-haiku,Asia,2024-03-02 17:54:00,737,489,1226,0.0372,569,success,coding
60,365,Marketing,Support,Meta,llama-3-8b,Asia,2024-04-17 07:11:00,1095,779,1874,0.063,2377,success,coding
61,226,Finance,Product,OpenAI,gpt-4o,Asia,2024-11-27 14:58:00,612,467,1079,0.0499,2174,success,analysis
62,448,Operations,Product,Anthropic,claude-3-opus,EU,2024-01-05 00:54:00,1350,827,2177,0.0779,3026,success,coding
63,4,Finance,Support,OpenAI,gpt-4o-mini,Asia,2024-06-30 11:03:00,502,1049,1551,0.0603,758,success,analysis
64,220,Finance,Product,OpenAI,gpt-4o-mini,Asia,2024-08-19 01:11:00,596,1102,1698,0.0199,3343,success,search
65,99,Sales,Product,Anthropic,claude-3-haiku,US,2024-11-23 17:32:00,207,506,713,0.0151,2665,success,summarization
66,181,Operations,Research,Meta,llama-3-70b,Asia,2024-07-18 22:56:00,1110,309,1419,0.033,401,success,coding
67,191,Operations,Research,Anthropic,claude-3-opus,US,2024-02-28 16:11:00,656,1152,1808,0.089,1239,success,chat
68,256,Finance,Product,Google,gemini-pro,Asia,2024-02-16 18:28:00,302,1010,1312,0.0231,1284,success,coding
69,54,HR,Data Engineering,Anthropic,claude-3-haiku,EU,2024-11-01 22:32:00,1396,157,1553,0.0387,1858,success,coding
70,431,Sales,Product,Anthropic,claude-3-opus,EU,2024-08-05 10:38:00,619,715,1334,0.0185,3459,success,chat
71,386,Sales,Data Engineering,Anthropic,claude-3-haiku,Asia,2024-06-08 18:40:00,903,991,1894,0.0382,2637,success,summarization
72,176,IT,Analytics,Meta,llama-3-8b,EU,2024-04-30 04:21:00,834,1157,1991,0.0754,345,success,summarization
73,409,Sales,Data Engineering,Anthropic,claude-3-opus,US,2024-01-20 17:38:00,1112,788,1900,0.0509,1941,success,search
74,313,IT,Support,OpenAI,gpt-3.5-turbo,EU,2024-10-03 01:19:00,457,554,1011,0.0134,3050,success,chat
75,494,IT,Research,Meta,llama-3-70b,EU,2024-07-21 14:53:00,85,714,799,0.0142,2659,success,summarization
76,143,Marketing,Product,Anthropic,claude-3-haiku,US,2024-09-11 20:00:00,449,683,1132,0.0516,2618,success,analysis
77,342,Operations,Analytics,Google,gemini-pro,US,2024-01-15 20:09:00,1165,863,2028,0.0558,2082,error,coding
78,314,Finance,Product,Google,gemini-pro,Asia,2024-12-04 15:03:00,100,604,704,0.0347,2297,success,coding
79,271,Finance,Data Engineering,Meta,llama-3-8b,Asia,2024-04-29 06:00:00,619,334,953,0.011,937,error,analysis
80,264,Sales,Analytics,Meta,llama-3-70b,EU,2024-10-15 20:02:00,1127,1032,2159,0.0326,3140,success,summarization
81,196,Sales,Support,Google,gemini-pro,US,2024-03-29 03:35:00,1126,1033,2159,0.1049,1226,success,chat
82,355,Sales,Product,OpenAI,gpt-4o-mini,Asia,2024-09-05 11:26:00,823,906,1729,0.0307,146,success,search
83,370,IT,Analytics,OpenAI,gpt-4o-mini,EU,2024-04-21 09:42:00,872,965,1837,0.0717,368,error,summarization
84,120,Operations,Data Engineering,Anthropic,claude-3-opus,Asia,2024-12-18 01:43:00,685,1159,1844,0.0423,756,success,search
85,474,Operations,Data Engineering,Anthropic,claude-3-haiku,EU,2024-03-04 02:32:00,880,1111,1991,0.0262,840,success,coding
86,129,Finance,Product,Meta,llama-3-8b,Asia,2024-09-01 22:57:00,166,820,986,0.0268,2031,success,summarization
87,96,HR,Support,OpenAI,gpt-4o-mini,EU,2024-09-04 19:51:00,1131,663,1794,0.0292,2949,success,chat
88,373,Sales,Analytics,Meta,llama-3-8b,Asia,2024-06-24 18:00:00,1191,589,1780,0.0308,3408,error,analysis
89,349,Sales,Support,Anthropic,claude-3-haiku,Asia,2024-11-22 08:25:00,946,733,1679,0.054,2937,success,summarization
90,86,HR,Support,OpenAI,gpt-4o,EU,2024-09-25 17:05:00,296,1129,1425,0.0465,1096,success,chat
91,238,IT,Data Engineering,Anthropic,claude-3-haiku,EU,2024-07-16 06:36:00,746,1122,1868,0.0257,2241,success,summarization
92,218,Finance,Analytics,Meta,llama-3-8b,Asia,2024-05-14 19:43:00,1007,1041,2048,0.0348,3059,success,analysis
93,289,Operations,Product,Google,gemini-pro,EU,2024-07-25 01:45:00,523,461,984,0.0416,1735,success,search
94,246,HR,Support,OpenAI,gpt-4o,EU,2024-04-02 04:11:00,1327,386,1713,0.0444,2669,success,analysis
95,147,Marketing,Data Engineering,Meta,llama-3-70b,EU,2024-12-23 10:43:00,1173,831,2004,0.041,2909,success,coding
96,16,Sales,Research,OpenAI,gpt-4o,EU,2024-05-14 05:59:00,491,798,1289,0.0407,615,success,chat
97,476,IT,Analytics,OpenAI,gpt-4o-mini,US,2024-02-09 00:53:00,841,365,1206,0.0431,596,success,analysis
98,396,Sales,Research,Google,gemini-pro,US,2024-10-30 01:10:00,945,189,1134,0.054,1787,error,analysis
99,179,IT,Product,Google,gemini-flash,EU,2024-08-10 08:54:00,739,409,1148,0.0174,1056,success,summarization
100,12,Operations,Analytics,OpenAI,gpt-3.5-turbo,US,2024-02-29 02:51:00,1341,1096,2437,0.0435,2544,success,chat
101,337,Finance,Data Engineering,Google,gemini-pro,US,2024-11-24 01:07:00,1375,528,1903,0.0661,2874,success,summarization
102,90,Marketing,Support,Anthropic,claude-3-haiku,EU,2024-02-21 19:57:00,139,805,944,0.024,3117,success,summarization
103,314,Operations,Data Engineering,Google,gemini-flash,Asia,2024-11-05 13:50:00,1071,447,1518,0.031,3367,success,coding
104,277,Finance,Support,OpenAI,gpt-3.5-turbo,EU,2024-02-13 10:15:00,1148,442,1590,0.0184,828,success,analysis
105,457,Sales,Data Engineering,Google,gemini-flash,EU,2024-08-09 10:22:00,1070,790,1860,0.0594,1992,success,summarization
106,496,Sales,Data Engineering,Anthropic,claude-3-haiku,EU,2024-01-30 00:37:00,969,221,1190,0.0393,1222,success,search
107,151,Sales,Research,Anthropic,claude-3-haiku,US,2024-01-16 02:33:00,1027,1038,2065,0.0848,1787,success,search
108,279,Finance,Product,Meta,llama-3-70b,Asia,2024-05-12 03:45:00,1263,66,1329,0.026,1648,success,chat
109,369,Marketing,Product,Anthropic,claude-3-haiku,EU,2024-03-17 04:00:00,266,896,1162,0.0164,1396,success,chat
110,397,IT,Product,Google,gemini-flash,EU,2024-01-27 17:19:00,111,625,736,0.0317,1465,success,summarization
111,445,HR,Research,Anthropic,claude-3-opus,EU,2024-01-01 20:06:00,748,1072,1820,0.0465,495,success,summarization
112,206,Marketing,Support,Anthropic,claude-3-haiku,Asia,2024-11-17 21:13:00,1306,105,1411,0.0341,1919,success,summarization
113,373,HR,Data Engineering,OpenAI,gpt-4o,US,2024-12-18 22:57:00,784,880,1664,0.0495,243,error,summarization
114,379,Operations,Data Engineering,OpenAI,gpt-4o,US,2024-01-10 22:58:00,1142,1152,2294,0.0782,3095,success,chat
115,181,Finance,Analytics,Anthropic,claude-3-opus,EU,2024-12-28 21:44:00,1224,1197,2421,0.1007,2256,error,coding
116,133,IT,Product,Meta,llama-3-8b,EU,2024-04-15 07:48:00,1115,964,2079,0.1036,733,success,search
117,239,Sales,Data Engineering,Anthropic,claude-3-opus,Asia,2024-07-20 03:46:00,1236,762,1998,0.048,2805,success,analysis
118,401,Sales,Research,Anthropic,claude-3-haiku,US,2024-12-22 13:05:00,637,1062,1699,0.0687,2639,success,chat
119,122,Sales,Product,Google,gemini-flash,EU,2024-10-01 16:13:00,1326,199,1525,0.0394,2942,success,search
120,136,Finance,Support,Anthropic,claude-3-haiku,Asia,2024-02-01 18:47:00,1267,58,1325,0.0177,2486,success,summarization
121,217,Operations,Product,Meta,llama-3-8b,EU,2024-12-26 16:29:00,1438,529,1967,0.0383,3498,error,coding
122,415,Sales,Data Engineering,OpenAI,gpt-4o,EU,2024-03-13 14:35:00,1374,1185,2559,0.0614,3423,success,summarization
123,202,Operations,Support,Anthropic,claude-3-opus,EU,2024-02-24 11:43:00,494,905,1399,0.0452,190,success,coding
124,242,HR,Data Engineering,Anthropic,claude-3-haiku,Asia,2024-08-27 06:05:00,88,1179,1267,0.0376,752,success,analysis
125,317,Operations,Product,Anthropic,claude-3-haiku,Asia,2024-06-19 22:54:00,1293,1111,2404,0.0953,555,success,analysis
126,190,Operations,Analytics,Meta,llama-3-70b,EU,2024-11-19 01:50:00,944,1054,1998,0.0744,2495,error,analysis
127,134,Marketing,Analytics,Google,gemini-flash,EU,2024-09-18 00:36:00,554,853,1407,0.0438,1240,success,chat
128,303,Finance,Support,Meta,llama-3-8b,Asia,2024-05-03 18:40:00,107,714,821,0.0401,1952,success,coding
129,252,Sales,Product,Google,gemini-pro,Asia,2024-04-14 05:09:00,1222,109,1331,0.0414,302,success,summarization
130,143,Operations,Research,Google,gemini-flash,EU,2024-12-04 18:53:00,1302,76,1378,0.0485,1649,success,analysis
131,12,Marketing,Product,Meta,llama-3-70b,EU,2024-11-04 23:20:00,1488,685,2173,0.0858,3118,error,chat
132,460,HR,Support,Meta,llama-3-8b,EU,2024-06-21 17:28:00,1403,765,2168,0.0267,457,success,analysis
133,348,Sales,Research,Anthropic,claude-3-haiku,Asia,2024-07-18 20:53:00,1481,697,2178,0.051,1245,success,summarization
134,178,Operations,Analytics,OpenAI,gpt-3.5-turbo,Asia,2024-06-16 13:36:00,725,119,844,0.0215,3487,success,chat
135,192,Operations,Support,Meta,llama-3-70b,Asia,2024-03-11 18:03:00,589,761,1350,0.033,839,success,coding
136,212,IT,Analytics,OpenAI,gpt-4o-mini,Asia,2024-03-06 15:11:00,551,988,1539,0.0484,1028,success,coding
137,46,Operations,Product,Meta,llama-3-8b,US,2024-09-23 09:49:00,510,761,1271,0.0265,3056,success,search
138,197,HR,Product,Meta,llama-3-70b,EU,2024-03-24 20:44:00,1326,419,1745,0.0837,355,success,chat
139,251,Finance,Support,Anthropic,claude-3-opus,Asia,2024-09-23 08:22:00,499,39,538,0.0255,3413,success,summarization
140,374,Marketing,Research,OpenAI,gpt-4o-mini,Asia,2024-07-09 21:36:00,926,1058,1984,0.0219,1924,success,chat
141,267,Marketing,Support,Anthropic,claude-3-haiku,EU,2024-08-26 20:19:00,1138,175,1313,0.065,2324,success,search
142,283,Operations,Product,Google,gemini-pro,Asia,2024-03-25 23:03:00,902,92,994,0.0256,2974,success,summarization
143,405,Marketing,Research,Google,gemini-pro,EU,2024-04-08 18:54:00,738,134,872,0.0232,484,success,coding
144,351,HR,Data Engineering,Anthropic,claude-3-haiku,EU,2024-10-29 02:37:00,872,547,1419,0.0535,2856,success,coding
145,202,Sales,Product,OpenAI,gpt-4o-mini,EU,2024-06-07 05:03:00,820,1076,1896,0.0773,2824,success,chat
146,366,Finance,Research,Anthropic,claude-3-haiku,US,2024-09-18 04:16:00,132,1198,1330,0.0261,2604,error,chat
147,449,HR,Support,OpenAI,gpt-4o-mini,US,2024-03-07 18:06:00,50,80,130,0.0027,1569,error,summarization
148,72,Marketing,Research,Google,gemini-pro,US,2024-05-29 10:13:00,930,517,1447,0.0502,2242,error,search
149,259,Finance,Data Engineering,OpenAI,gpt-3.5-turbo,US,2024-08-27 05:59:00,203,279,482,0.0149,2265,success,coding
150,389,HR,Support,Google,gemini-pro,US,2024-03-21 01:06:00,1379,297,1676,0.0715,335,success,coding
151,255,Marketing,Research,OpenAI,gpt-4o,US,2024-05-06 21:10:00,1039,792,1831,0.0479,723,success,analysis
152,398,Finance,Product,Meta,llama-3-70b,Asia,2024-12-12 19:00:00,1376,948,2324,0.0934,3000,success,analysis
153,226,Sales,Data Engineering,Anthropic,claude-3-haiku,US,2024-02-01 13:51:00,627,104,731,0.0135,863,success,coding
154,347,Operations,Analytics,Meta,llama-3-8b,US,2024-11-06 09:40:00,855,127,982,0.0348,1458,error,summarization
155,166,Operations,Product,OpenAI,gpt-4o-mini,US,2024-04-18 00:19:00,484,476,960,0.0375,348,success,chat
156,51,HR,Data Engineering,OpenAI,gpt-4o,Asia,2024-10-04 08:47:00,1033,1049,2082,0.0456,3277,success,chat
157,184,Sales,Data Engineering,Meta,llama-3-8b,EU,2024-06-05 13:48:00,130,162,292,0.0122,237,success,analysis
158,69,Finance,Product,Anthropic,claude-3-haiku,EU,2024-10-29 21:56:00,1474,814,2288,0.0465,3131,success,summarization
159,235,IT,Research,OpenAI,gpt-4o-mini,Asia,2024-12-11 08:25:00,595,82,677,0.0162,2273,success,coding
160,336,Marketing,Analytics,OpenAI,gpt-4o,EU,2024-04-04 17:55:00,92,140,232,0.0035,3354,success,chat
161,281,Sales,Data Engineering,OpenAI,gpt-3.5-turbo,EU,2024-09-14 11:34:00,144,929,1073,0.0185,1819,success,summarization
162,61,HR,Data Engineering,Anthropic,claude-3-opus,EU,2024-06-03 21:52:00,1268,696,1964,0.0721,2069,success,search
163,466,Finance,Analytics,Google,gemini-flash,EU,2024-03-24 15:45:00,683,1104,1787,0.0208,1128,success,chat
164,326,IT,Data Engineering,Meta,llama-3-70b,Asia,2024-01-20 02:49:00,653,711,1364,0.0233,1528,success,search
165,34,Finance,Research,Meta,llama-3-70b,Asia,2024-09-12 14:34:00,694,262,956,0.0232,3217,success,chat
166,121,Finance,Data Engineering,OpenAI,gpt-4o,Asia,2024-01-23 07:46:00,1151,1126,2277,0.0312,2194,success,coding
167,319,Sales,Support,OpenAI,gpt-3.5-turbo,EU,2024-04-24 14:55:00,263,268,531,0.0162,206,success,chat
168,8,Operations,Research,Meta,llama-3-8b,Asia,2024-04-23 06:57:00,97,366,463,0.0098,1380,success,analysis
169,214,Operations,Analytics,Google,gemini-pro,EU,2024-12-19 15:33:00,674,748,1422,0.0447,155,success,summarization
170,216,HR,Support,Anthropic,claude-3-haiku,Asia,2024-03-21 17:56:00,575,503,1078,0.0435,2225,success,summarization
171,312,Sales,Research,Meta,llama-3-8b,US,2024-02-09 21:23:00,1459,394,1853,0.0232,2846,success,search
172,238,HR,Support,OpenAI,gpt-4o,US,2024-08-26 22:21:00,932,1060,1992,0.0747,1018,success,chat
173,192,IT,Product,OpenAI,gpt-4o,US,2024-06-16 13:28:00,412,835,1247,0.039,3186,success,search
174,273,IT,Analytics,Meta,llama-3-70b,EU,2024-08-15 23:07:00,534,57,591,0.0064,2076,success,analysis
175,25,Operations,Product,Anthropic,claude-3-haiku,EU,2024-08-24 11:44:00,1304,115,1419,0.0328,2959,success,analysis
176,233,Operations,Research,Google,gemini-flash,US,2024-06-26 04:15:00,194,54,248,0.0092,166,success,analysis
177,470,Sales,Analytics,Anthropic,claude-3-haiku,EU,2024-06-10 08:15:00,158,1199,1357,0.0183,210,success,chat
178,83,Marketing,Data Engineering,Meta,llama-3-70b,Asia,2024-05-21 04:42:00,83,652,735,0.0293,2895,success,search
179,320,Operations,Support,Meta,llama-3-8b,US,2024-05-23 15:34:00,474,642,1116,0.0274,1405,success,chat
180,437,Operations,Analytics,Google,gemini-pro,US,2024-12-03 20:10:00,364,906,1270,0.0295,1412,error,summarization
181,112,Operations,Research,Anthropic,claude-3-haiku,US,2024-11-18 00:08:00,711,306,1017,0.0164,1626,success,summarization
182,95,Sales,Analytics,Meta,llama-3-8b,EU,2024-12-02 05:32:00,565,872,1437,0.0194,2497,success,chat
183,31,Marketing,Research,Anthropic,claude-3-opus,EU,2024-10-06 23:19:00,872,1190,2062,0.0272,342,success,analysis
184,6,IT,Data Engineering,Anthropic,claude-3-opus,Asia,2024-12-12 08:13:00,1113,258,1371,0.0676,1346,success,search
185,335,IT,Analytics,Google,gemini-pro,EU,2024-05-05 15:41:00,1395,497,1892,0.0923,103,error,analysis
186,486,Operations,Product,OpenAI,gpt-4o,EU,2024-04-25 14:17:00,695,147,842,0.0171,2651,success,search
187,203,HR,Product,Meta,llama-3-8b,EU,2024-02-08 03:09:00,996,603,1599,0.0754,946,success,search
188,133,HR,Analytics,Meta,llama-3-70b,Asia,2024-07-02 11:56:00,1465,1079,2544,0.0539,3471,success,chat
189,225,Marketing,Data Engineering,Google,gemini-flash,Asia,2024-08-13 21:41:00,375,1171,1546,0.0594,823,success,chat
190,90,Sales,Analytics,Anthropic,claude-3-opus,EU,2024-04-03 01:21:00,581,142,723,0.0226,2148,success,chat
191,139,Operations,Product,OpenAI,gpt-3.5-turbo,Asia,2024-08-12 21:49:00,703,349,1052,0.0142,2017,success,chat
192,10,HR,Product,Google,gemini-pro,US,2024-04-22 19:51:00,894,288,1182,0.0143,789,success,coding
193,130,Marketing,Data Engineering,OpenAI,gpt-4o-mini,Asia,2024-01-28 11:41:00,310,201,511,0.0092,1291,success,search
194,399,Sales,Product,Meta,llama-3-70b,US,2024-04-30 13:00:00,370,358,728,0.0294,2094,success,search
195,444,IT,Research,Anthropic,claude-3-opus,Asia,2024-07-26 11:28:00,1492,1148,2640,0.1246,2465,success,summarization
196,418,Sales,Support,Anthropic,claude-3-opus,EU,2024-05-21 06:40:00,285,363,648,0.0307,1260,error,summarization
197,60,IT,Research,Meta,llama-3-8b,EU,2024-04-28 00:10:00,637,542,1179,0.0467,3065,success,summarization
198,286,HR,Analytics,Google,gemini-pro,Asia,2024-03-15 16:53:00,1422,902,2324,0.093,1951,success,chat
199,379,Marketing,Support,OpenAI,gpt-4o-mini,EU,2024-04-17 07:06:00,1364,754,2118,0.037,2998,success,search
200,42,Finance,Product,Anthropic,claude-3-opus,EU,2024-02-08 18:43:00,127,603,730,0.0178,1872,error,summarization
201,104,Finance,Product,Anthropic,claude-3-haiku,US,2024-08-20 01:25:00,138,431,569,0.0243,1418,success,analysis
202,143,Operations,Research,OpenAI,gpt-3.5-turbo,US,2024-12-10 00:44:00,849,451,1300,0.0411,674,success,chat
203,450,IT,Data Engineering,Google,gemini-flash,US,2024-07-05 08:35:00,1042,694,1736,0.042,3154,success,analysis
204,198,Sales,Data Engineering,Google,gemini-pro,Asia,2024-06-22 01:03:00,870,133,1003,0.0351,2070,success,chat
205,448,Marketing,Support,Meta,llama-3-70b,EU,2024-11-28 20:38:00,628,420,1048,0.0411,2701,success,search
206,157,IT,Data Engineering,OpenAI,gpt-4o,Asia,2024-06-25 04:10:00,1088,507,1595,0.073,519,success,search
207,289,IT,Analytics,Google,gemini-flash,Asia,2024-10-30 08:02:00,599,1150,1749,0.067,1050,success,search
208,123,Sales,Research,Google,gemini-pro,US,2024-01-15 19:22:00,1327,225,1552,0.0509,616,error,search
209,303,Marketing,Product,Anthropic,claude-3-haiku,EU,2024-09-17 00:40:00,914,1171,2085,0.0893,3330,success,analysis
210,157,Finance,Analytics,OpenAI,gpt-4o-mini,Asia,2024-04-07 03:30:00,277,245,522,0.0178,2162,success,chat
211,411,Sales,Research,OpenAI,gpt-4o-mini,Asia,2024-12-14 10:56:00,1334,76,1410,0.0372,229,success,summarization
212,282,Marketing,Product,Google,gemini-pro,US,2024-05-25 05:59:00,144,656,800,0.0302,3463,success,analysis
213,330,HR,Data Engineering,OpenAI,gpt-4o-mini,EU,2024-12-10 17:15:00,1356,98,1454,0.0626,3425,error,search
214,303,Operations,Support,Meta,llama-3-70b,EU,2024-08-29 16:48:00,921,579,1500,0.0286,2170,success,analysis
215,141,HR,Product,Meta,llama-3-70b,EU,2024-09-03 21:05:00,395,331,726,0.0251,2365,success,summarization
216,316,Operations,Product,Google,gemini-flash,EU,2024-07-13 05:16:00,1007,1014,2021,0.0409,1739,error,search
217,133,IT,Analytics,OpenAI,gpt-3.5-turbo,EU,2024-08-01 21:56:00,732,1033,1765,0.0575,1447,success,coding
218,287,Marketing,Research,Meta,llama-3-70b,Asia,2024-11-06 06:55:00,937,156,1093,0.0176,703,success,summarization
219,297,HR,Product,Google,gemini-flash,US,2024-11-12 17:08:00,1451,1043,2494,0.0327,3467,success,chat
220,420,Marketing,Product,Meta,llama-3-70b,EU,2024-01-23 16:13:00,828,843,1671,0.0325,1745,success,coding
221,438,Marketing,Support,Google,gemini-flash,US,2024-09-20 17:02:00,1255,1012,2267,0.1062,1954,success,chat
222,431,Sales,Support,Anthropic,claude-3-opus,Asia,2024-09-27 21:24:00,616,400,1016,0.0342,2808,success,chat
223,117,Sales,Support,Anthropic,claude-3-opus,Asia,2024-07-21 22:27:00,1018,1190,2208,0.0402,2460,success,chat
224,75,Marketing,Support,Google,gemini-pro,EU,2024-03-26 18:01:00,986,604,1590,0.0423,1725,success,search
225,427,Operations,Product,Meta,llama-3-8b,US,2024-12-23 16:20:00,435,504,939,0.0371,2787,error,chat
